Year,"GDP, trillions $","Real GDP, trillions $","GDP Deflator, %","Population, millions","GDP (per capita), K $","Real GDP (per capita), K $","Tax Rev, bill $","Tax Rev, GDP %","    Gov Spending, bill $","Deficit Balance, bill $","Public Debt, bill $","Payments Balance, bill $","Inflation, (CPI) %","Unemployment, %","Interest Rate, %","Income Tax Rate, avg %"
1790,0.00018900,0.00435100,4.34000000,3.92900000,0.04807,1.10732,,,,,,,3.75000000,,,
1791,0.00020600,0.00461200,4.46000000,4.04800000,0.0508,1.13928,,,,,,,2.71000000,,,
1792,0.00022500,0.00495200,4.54000000,4.17200000,0.05386,1.18684,0.00000000,,0.01000000,0.00000000,0.00000000,,1.87000000,,,
1793,0.00025100,0.00534500,4.70000000,4.29900000,0.05839,1.24334,0.00000000,,0.00000000,0.00000000,0.00000000,,3.45000000,,,
1794,0.00031500,0.00605200,5.21000000,4.42900000,0.07118,1.36645,0.01000000,3.17460317,0.01000000,0.00000000,0.00000000,,10.95000000,,,
1795,0.00038300,0.00643600,5.96000000,4.56300000,0.08404,1.4104,0.01000000,2.61096606,0.01000000,0.00000000,0.00000000,,14.38000000,,,
1796,0.00041700,0.00664000,6.27000000,4.70100000,0.08863,1.41253,0.01000000,2.39808153,0.01000000,0.00000000,0.00000000,,5.26000000,,,
1797,0.00040900,0.00677400,6.04000000,4.84400000,0.08443,1.39833,0.01000000,2.44498778,0.01000000,0.00000000,0.00000000,,-3.75000000,,,
1798,0.00041300,0.00706400,5.84000000,4.99000000,0.08268,1.41567,0.01000000,2.42130751,0.01000000,0.00000000,0.00000000,,-3.33000000,,,
1799,0.00044200,0.00756300,5.84000000,5.14100000,0.08591,1.47105,0.01000000,2.26244344,0.01000000,0.00000000,0.00000000,,0.00000000,,,
1800,0.00048000,0.00799400,6.01000000,5.29700000,0.09064,1.50906,0.01000000,2.08333333,0.01000000,0.00000000,0.00000000,,2.10000000,,,
1801,0.00051400,0.00838300,6.13000000,5.46100000,0.09418,1.53508,0.01000000,1.94552529,0.01000000,0.00000000,0.00000000,,1.31000000,,,
1802,0.00045100,0.00864700,5.21000000,5.63200000,0.08004,1.53528,0.02000000,4.43458980,0.01000000,-0.01000000,0.00000000,,-15.73000000,,,
1803,0.00048700,0.00879300,5.54000000,5.80900000,0.08386,1.51374,0.01000000,2.05338809,0.01000000,0.00000000,0.00000000,,5.49000000,,,
1804,0.00053300,0.00913500,5.83000000,5.99100000,0.08888,1.52474,0.01000000,1.87617261,0.01000000,0.00000000,0.00000000,,4.38000000,,,
1805,0.00056100,0.00961900,5.83000000,6.18000000,0.09079,1.55643,0.01000000,1.78253119,0.01000000,0.00000000,0.00000000,,-0.70000000,,,
1806,0.00061700,0.01007400,6.13000000,6.37900000,0.09678,1.57917,0.02000000,3.24149109,0.01000000,-0.01000000,0.00000000,,4.23000000,,,
1807,0.00058900,0.01008300,5.84000000,6.58800000,0.08937,1.53049,0.02000000,3.39558574,0.01000000,-0.01000000,0.00000000,,-5.41000000,,,
1808,0.00064600,0.01010500,6.39000000,6.79700000,0.09502,1.48674,0.02000000,3.09597523,0.01000000,-0.01000000,0.00000000,,8.66000000,,,
1809,0.00068700,0.01087800,6.31000000,7.00900000,0.09795,1.55207,0.01000000,1.45560408,0.01000000,0.00000000,0.00000000,,-2.05000000,,,
1810,0.00070600,0.01148100,6.15000000,7.22400000,0.09773,1.58931,0.01000000,1.41643059,0.01000000,0.00000000,0.00000000,,0.00000000,,,
1811,0.00076700,0.01200300,6.39000000,7.43600000,0.10318,1.61419,0.02000000,2.60756193,0.01000000,-0.01000000,0.00000000,,6.80000000,,,
1812,0.00078600,0.01248200,6.30000000,7.65100000,0.10275,1.63142,0.01000000,1.27226463,0.02000000,0.01000000,0.00000000,,1.26000000,,,
1813,0.00096900,0.01319200,7.35000000,7.86700000,0.12321,1.67692,0.02000000,2.06398349,0.03000000,0.02000000,0.00000000,,20.02000000,,,
1814,0.00107800,0.01374400,7.84000000,8.08500000,0.13335,1.69998,0.01000000,0.92764378,0.04000000,0.02000000,0.00000000,,9.89000000,,,
1815,0.00092500,0.01385500,6.68000000,8.30800000,0.11132,1.66765,0.02000000,2.16216216,0.03000000,0.02000000,0.00000000,,-12.29000000,,,
1816,0.00081900,0.01385400,5.91000000,8.54000000,0.09592,1.62225,0.05000000,6.10500611,0.03000000,-0.02000000,0.00000000,,-8.65000000,,,
1817,0.00076900,0.01417600,5.42000000,8.79000000,0.08746,1.61273,0.03000000,3.90117035,0.02000000,-0.01000000,0.00000000,,-5.36000000,,,
1818,0.00073700,0.01469100,5.02000000,9.05700000,0.0814,1.62202,0.02000000,2.71370421,0.02000000,0.00000000,0.00000000,,-4.34000000,,,
1819,0.00072600,0.01497500,4.85000000,9.33500000,0.07782,1.60418,0.03000000,4.13223140,0.02000000,0.00000000,0.00000000,,0.00000000,,,
1820,0.00071000,0.01557400,4.56000000,9.61800000,0.07379,1.61922,0.02000000,2.81690141,0.02000000,0.00000000,0.00000000,,-7.87000000,,,
1821,0.00073500,0.01640300,4.48000000,9.89900000,0.07422,1.65699,0.02000000,2.72108844,0.02000000,0.00000000,0.00000000,,-3.52000000,,,
1822,0.00080500,0.01702400,4.73000000,10.18900000,0.07904,1.67087,0.02000000,2.48447205,0.02000000,-0.01000000,0.00000000,,3.65000000,,,
1823,0.00075900,0.01764000,4.30000000,10.48800000,0.0724,1.68197,0.02000000,2.63504611,0.02000000,-0.01000000,0.00000000,,-10.65000000,,,
1824,0.00075400,0.01868600,4.03000000,10.79500000,0.06983,1.73103,0.02000000,2.65251989,0.02000000,0.00000000,0.00000000,,-7.88000000,,,
1825,0.00082200,0.01952200,4.21000000,11.11500000,0.07397,1.75641,0.02000000,2.43309002,0.02000000,-0.01000000,0.00000000,,2.57000000,,,
1826,0.00086600,0.02021700,4.28000000,11.44900000,0.07566,1.7658,0.03000000,3.46420323,0.02000000,-0.01000000,0.00000000,,0.00000000,,,
1827,0.00091600,0.02084400,4.39000000,11.79700000,0.07764,1.76686,0.02000000,2.18340611,0.02000000,-0.01000000,0.00000000,,0.83000000,,,
1828,0.00089700,0.02112600,4.24000000,12.15800000,0.07375,1.73758,0.03000000,3.34448161,0.02000000,-0.01000000,0.00000000,,-4.96000000,,,
1829,0.00093000,0.02192900,4.24000000,12.52500000,0.07421,1.75079,0.03000000,3.22580645,0.02000000,-0.01000000,0.00000000,,-1.85000000,,,
1830,0.00102200,0.02394500,4.27000000,12.90100000,0.07919,1.85605,0.03000000,2.93542074,0.02000000,-0.01000000,0.00000000,,-0.89000000,,,
1831,0.00105200,0.02592200,4.06000000,13.27700000,0.07925,1.95239,0.03000000,2.85171103,0.02000000,-0.01000000,0.00000000,,-6.26000000,,,
1832,0.00112900,0.02767400,4.08000000,13.67600000,0.08257,2.02352,0.03000000,2.65721878,0.02000000,-0.01000000,0.00000000,,-0.95000000,,,
1833,0.00115800,0.02852600,4.06000000,14.08600000,0.08224,2.02512,0.04000000,3.45423143,0.03000000,-0.01000000,0.00000000,,-1.93000000,,,
1834,0.00121900,0.02900600,4.20000000,14.50400000,0.08404,1.99984,0.02000000,1.64068909,0.02000000,0.00000000,0.00000000,,1.97000000,,,
1835,0.00134000,0.03054500,4.39000000,14.91700000,0.08984,2.04765,0.04000000,2.98507463,0.02000000,-0.02000000,0.00000000,,2.89000000,,,
1836,0.00147900,0.03144900,4.70000000,15.34000000,0.09639,2.05011,0.05000000,3.38066261,0.03000000,-0.02000000,0.00000000,,5.62000000,,,
1837,0.00155400,0.03173700,4.90000000,15.79000000,0.0984,2.00995,0.03000000,1.93050193,0.04000000,0.01000000,0.00000000,,2.77000000,,,
1838,0.00159800,0.03305000,4.83000000,16.22400000,0.09848,2.0371,0.03000000,1.87734668,0.04000000,0.01000000,0.00000000,,-2.70000000,,,
1839,0.00166100,0.03389900,4.90000000,16.65600000,0.09973,2.03524,0.04000000,2.40818784,0.03000000,0.00000000,0.00000000,,0.00000000,,,
1840,0.00157400,0.03399200,4.63000000,17.12000000,0.09191,1.98549,0.02000000,1.27064803,0.03000000,0.01000000,0.00000000,,-7.10000000,,,
1841,0.00165200,0.03475300,4.75000000,17.61200000,0.0938,1.97328,0.02000000,1.21065375,0.03000000,0.01000000,0.00000000,,0.95000000,,,
1842,0.00161800,0.03586400,4.51000000,18.12400000,0.08926,1.97882,0.02000000,1.23609394,0.03000000,0.01000000,0.00000000,,-6.62000000,,,
1843,0.00156800,0.03764100,4.16000000,18.64100000,0.08409,2.01928,0.01000000,0.63775510,0.02000000,0.00000000,0.00000000,,-9.24000000,,,
1844,0.00170200,0.03978000,4.28000000,19.15700000,0.08886,2.0765,0.03000000,1.76263220,0.03000000,-0.01000000,0.00000000,,1.12000000,,,
1845,0.00185900,0.04229800,4.40000000,19.70800000,0.09435,2.14622,0.03000000,1.61377084,0.03000000,-0.01000000,0.00000000,,1.10000000,,,
1846,0.00206500,0.04573500,4.51000000,20.31300000,0.10164,2.25154,0.03000000,1.45278450,0.03000000,0.00000000,0.00000000,,1.09000000,,,
1847,0.00241000,0.04884800,4.93000000,20.98700000,0.11482,2.32755,0.03000000,1.24481328,0.06000000,0.03000000,0.00000000,,7.69000000,,,
1848,0.00242700,0.05049500,4.81000000,21.70600000,0.1118,2.32631,0.04000000,1.64812526,0.05000000,0.01000000,0.00000000,,-4.14000000,,,
1849,0.00241900,0.05119700,4.72000000,22.46400000,0.10766,2.27905,0.04000000,1.65357586,0.05000000,0.01000000,0.00000000,,-3.14000000,,,
1850,0.00258100,0.05357500,4.82000000,23.26100000,0.11096,2.3032,0.05000000,1.93723363,0.04000000,0.00000000,0.00000000,,2.16000000,,,
1851,0.00272400,0.05788700,4.71000000,24.09500000,0.11307,2.40244,0.06000000,2.20264317,0.05000000,0.00000000,0.00000000,,-2.11000000,,,
1852,0.00306600,0.06457200,4.75000000,24.99900000,0.12266,2.58297,0.06000000,1.95694716,0.05000000,0.00000000,0.00000000,,1.08000000,,,
1853,0.00331100,0.06985200,4.74000000,25.91100000,0.12778,2.69584,0.07000000,2.11416490,0.06000000,-0.01000000,0.00000000,,0.00000000,,,
1854,0.00371300,0.07226400,5.14000000,26.85600000,0.13825,2.69078,0.08000000,2.15459197,0.07000000,-0.01000000,0.00000000,,8.68000000,,,
1855,0.00397500,0.07527700,5.28000000,27.72700000,0.14336,2.71495,0.07000000,1.76100629,0.07000000,0.00000000,0.00000000,,2.95000000,,,
1856,0.00404700,0.07830000,5.17000000,28.49700000,0.14203,2.74765,0.08000000,1.97677292,0.08000000,0.00000000,0.00000000,,-1.91000000,,,
1857,0.00418000,0.07870100,5.31000000,29.29800000,0.14267,2.68624,0.08000000,1.91387560,0.08000000,0.00000000,0.00000000,,2.92000000,,,
1858,0.00409300,0.08188600,5.00000000,30.06800000,0.13612,2.72335,0.05000000,1.22159785,0.09000000,0.03000000,0.00000000,,-5.67000000,,,
1859,0.00442500,0.08781500,5.04000000,30.78000000,0.14376,2.85299,0.06000000,1.35593220,0.08000000,0.02000000,0.00000000,,1.00000000,,,
1860,0.00438700,0.08871300,4.95000000,31.51300000,0.13921,2.81512,0.06000000,1.36767723,0.08000000,0.01000000,0.00000000,,0.00000000,,,
